Company Name,Employees,Website,Domain,Company Street,Company City,Company State,Company Country,Annual Revenue,Source
Benefit Cosmetics,"4,900",http://www.benefitcosmetics.com,benefitcosmetics.com,225 Bush Street,San Francisco,California,United States,"$1,499,999,000",Unbound Account List
Pinterest,"4,800",http://www.pinterest.com,pinterest.com,505 Brannan St,San Francisco,California,United States,"$3,646,166,000",Dream Companies Eng & Security
Twitch,"4,500",http://www.twitch.tv,twitch.tv,350 Bush Street,San Francisco,California,United States,"$1,800,000,000",Dream Companies Eng & Security
Cloudflare,"4,400",http://www.cloudflare.com,cloudflare.com,101 Townsend St,San Francisco,California,United States,"$1,669,626,000",Dream Companies GS
Sama,"4,300",http://www.sama.com,sama.com,2017 Mission Street,San Francisco,California,United States,"$884,700,000",Unbound Account List
Compass.uol,"4,300",http://www.compass.uol,compass.uol,,San Francisco,California,United States,"$1,000,000,000",Unbound Account List
Rippling,"4,000",http://www.rippling.com,rippling.com,430 California St,San Francisco,California,United States,"$570,000,000",Dream Companies Eng & Security
People Center Inc.,"4,000",http://www.rippling.com,rippling.com,2570 Folsom Street,San Francisco,California,United States,"$570,000,000",Unbound Account List
Motive,"4,000",http://www.gomotive.com,gomotive.com,55 Hawthorne St,San Francisco,California,United States,"$187,500,000",Unbound Account List
Epic Games,"4,000",http://www.epicgames.com,epicgames.com,620 Crossroads Blvd,Cary,North Carolina,United States,"$5,500,000,000",Dream Companies Eng & Security
Coinbase,"3,800",http://www.coinbase.com,coinbase.com,100 Pine Street,San Francisco,California,United States,"$6,564,028,000",Dream Companies Eng & Security
Proofpoint,"3,700",http://www.proofpoint.com,proofpoint.com,925 W Maude Ave,Sunnyvale,California,United States,"$1,050,010,000",Dream Companies Eng & Security
Wompro International,"3,600",http://www.zoominfo.com,zoominfo.com,330 W Columbia Way,Vancouver,Washington,United States,"$1,214,300,000",Dream Companies Eng & Security
Samsara,"3,600",http://www.samsara.com,samsara.com,350 Rhode Island Street,San Francisco,California,United States,"$937,000,000",Dream Companies Eng & Security
Samsara Networks,"3,500",http://www.samsara.com,samsara.com,1 De Haro St,San Francisco,California,United States,"$1,249,199,000",Dream Companies Eng & Security
Elastic,"3,500",http://www.elastic.co,elastic.co,88 Kearny St,San Francisco,California,United States,"$1,483,296,000",Unbound Account List
